reporter,argentina,australia,austria,bangladesh,belgium,brazil,canada,chile,china,colombia,czechia,denmark,egypt,finland,france,germany,hongkong,india,indonesia,iran,ireland,israel,italy,japan,korea,malaysia,mexico,netherlands,newzealand,nigeria,norway,pakistan,peru,philippines,poland,portugal,romania,russia,saudiarabia,singapore,southafrica,spain,sweden,switzerland,thailand,turkey,unitedarab,unitedkingdom,usa,vietnam
mexico,30279,49107,4627,0,1692,2422,1735,4810,36870,5549,89744,52197,2869,64329,240,8351,15393,10549,63852,0,14313,37751,4424,2933,115353,43087,0,1319,124023,0,150913,109,35192,37870,103863,1328,1520,63216,0,5208,17390,3534,6411,124846,111994,58265,72981,4762,12417669,9886
netherlands,4558,117177,74506,747,1034492,27105,69452,3546,253688,21342,54641,569,19070,180942,2731122,10193056,19985,6313,11378,47112,136456,9886,1864348,229879,37873,8978,2204,0,7115,1214,88731,441,3110,17936,111637,246643,74637,165635,3106,47602,8520,1017192,516458,200973,33157,4169,6263,4550753,1756317,4486
newzealand,1609,8836,1744,0,1175,2140,1977,4224,2293,0,769,1210,2831,1636,7091,11746,8153,1167,3152,0,2628,1795,1317,15562,1756,2549,976,1459,0,0,1710,519,2762,10252,1696,870,691,990,575,18580,2710,5504,3874,2701,2102,979,4028,2448,23058,2629
nigeria,0,0,133,0,291,113,37,0,26075,0,0,69,22,0,4810,786,0,0,45,0,22,2000,0,3260,119,0,20,95,759,0,0,0,0,0,0,32,0,0,0,5075,237,263,512,390,745,352,16448,5658,5124,0
norway,0,2278,3000,0,2620,3005,4300,238,7950,0,1909,3335,1570,570,2913,17503,6823,629,0,1774,3076,1319,1743,2092,2587,12965,529,6574,340,697,0,0,302,0,9961,877,169,4859,5063,30720,1376,5021,19188,4324,2386,983,1971,15824,11297,607
pakistan,461,3845,976,1514,7782,542,921,1148,1511,6890,483,7976,10007,386,61510,52463,1080,1927,1165,0,11301,1500,8762,17584,4094,2334,1517,17515,3514,5292,7683,0,404,644,3039,21689,215,919,10094,15625,1996,5594,6412,1881,12431,354,1500,56256,102402,1557
peru,5721,519,6954,0,3618,395,2694,938,12097,373,757,834,131,401,1535,5528,2803,0,44,0,854,1294,2635,3403,948,0,1850,1693,2257,0,310,0,0,260,2659,305,9,4732,0,626,402,36280,546,1194,1257,370,111,1590,55735,0
philippines,907,5086,234,0,207,291,639,554,1993,0,553,216,97,1076,1394,165445,921,783198,2651,0,167,782,129,28804,158,2043,221,3101,969,0,480,0,57,0,251,3434,199,155,0,471,259,592,244,366,693,5642,506,758,151482,8540
poland,2000,27907,97106,0,94666,363,51850,4677,314009,4114,67687,5143,401,22019,491600,2878766,17774,7243,4294,8303,5502,17884,341547,50528,12930,1708,2285,148030,4224,4786,24733,0,7704,144,0,2660,27398,16675,650,4354,205,282247,26772,74397,1114,1317,1524,226465,447928,2630
portugal,556,4846,2556,0,4761,751,2451,1550,3175,904,5278,1811,295,901,60785,357887,2678,3940,337,0,10578,926,5029,19161,191,1585,1833,2731,781,21900,868,0,218,768,15034,0,8050,35892,1984,394,822,42806,4424,14660,442,1669,296,36591,41441,860
romania,8229,95639,2778,0,13902,9110,6018,221,29138,8400,4074,1040,1328,2466,58179,356523,978,691,138,259,753,9313,376254,81228,1043,2880,644,1556,1813,0,3360,0,3528,339,26217,1920,0,15593,7511,853,1829,179781,3386,6199,361,2826,5824,21391,126757,3000
russia,311,32766,17364,0,1573,536,10438,4997,11952,720,2553,3589,624,7771,3127,76240,15296,865,1038,6,686,1360,3470,21775,6352,8165,1544,1741,490,1071,1470,354,116,31827,42885,1111,2273,0,1090,5127,314,13268,5153,43224,1291,381,8928,3737,133242,2049
